,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
175,House,05/21/2024,12:00PM,19:55PM,475.0,x,Adjournment: The House met at 12 p.m. and adjourned at 7:55 p.m.  ,https://www.congress.gov/congressional-record/2024/5/21/daily-digest
176,Senate,05/22/2024,10:00AM,19:47PM,587.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:47 p.m. until 10 a.m. on Thursday May 23 2024. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2024/5/22/daily-digest
177,House,05/22/2024,10:00AM,20:21PM,621.0,x,Adjournment: The House met at 10 a.m. and adjourned at 8:21 p.m.  ,https://www.congress.gov/congressional-record/2024/5/22/daily-digest
178,Senate,05/23/2024,10:00AM,16:01PM,361.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 4:01 p.m. until 10 a.m. on Friday May 24 2024. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2024/5/23/daily-digest
179,House,05/23/2024,10:00AM,15:24PM,324.0,x,Adjournment: The House met at 10 a.m. and adjourned at 3:24 p.m.  ,https://www.congress.gov/congressional-record/2024/5/23/daily-digest
180,Senate,05/24/2024,,,,pf,The Senate met at 10:00:03 a.m. in pro forma session and adjourned at 10:00:33 a.m. until 10:30 a.m. on Tuesday May 28 2024.No committee meetings were held.,https://www.congress.gov/congressional-record/2024/5/24/daily-digest
181,House,05/24/2024,11:00AM,11:02AM,2.0,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:02 a.m. ,https://www.congress.gov/congressional-record/2024/5/24/daily-digest
182,Senate,05/28/2024,,,,pf,The Senate met at 10:30:04 a.m. in pro forma session and adjourned at 10:30:37 a.m. until 4:30 p.m. on Friday May 31 2024.No committee meetings were held.,https://www.congress.gov/congressional-record/2024/5/28/daily-digest
183,House,05/28/2024,14:00PM,14:02PM,2.0,pf,Adjournment: The House met at 2 p.m. and adjourned at 2:02 p.m.  ,https://www.congress.gov/congressional-record/2024/5/28/daily-digest
184,Senate,05/31/2024,,,,pf,The Senate met at 4:30:02 p.m. in pro forma session and adjourned at 4:30:43 p.m. until 3 p.m. on Monday June 3 2024.No committee meetings were held.,https://www.congress.gov/congressional-record/2024/5/31/daily-digest
185,House,05/31/2024,09:30AM,09:32AM,2.0,pf,Adjournment: The House met at 9:30 a.m. and adjourned at 9:32 a.m.   ,https://www.congress.gov/congressional-record/2024/5/31/daily-digest
186,Senate,06/03/2024,15:00PM,19:21PM,261.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 7:21 p.m. until 10 a.m. on Tuesday June 4 2024. (For Senates program see the remarks of the Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2024/6/3/daily-digest
187,House,06/03/2024,12:00PM,20:58PM,538.0,x,Adjournment: The House met at 12 p.m. and adjourned at 8:58 p.m.  ,https://www.congress.gov/congressional-record/2024/6/3/daily-digest
