,House or Senate,Date,Time Convened,Time Adjourned,Time in Session,Working Day?,Scraped adjournment string,url
123,House,04/18/2023,10:00AM,19:31PM,571.0,x,Adjournment: The House met at 10 a.m. and adjourned at 7:31 p.m.   ,https://www.congress.gov/congressional-record/2023/4/18/daily-digest
124,Senate,04/19/2023,10:00AM,19:34PM,574.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:34 p.m. until 10 a.m. on Thursday April 20 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/4/19/daily-digest
125,House,04/19/2023,,,,INPUT BY HAND,,https://www.congress.gov/congressional-record/2023/4/19/daily-digest
126,Senate,04/20/2023,10:00AM,15:30PM,330.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 3:30 p.m. until 10 a.m. on Friday April 21 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/4/20/daily-digest
127,House,04/20/2023,09:00AM,12:46PM,226.0,x,Adjournment: The House met at 9 a.m. and adjourned at 12:46 p.m. ,https://www.congress.gov/congressional-record/2023/4/20/daily-digest
128,Senate,04/21/2023,,,,pf,The Senate met at 10:00:01 a.m. in pro forma session and adjourned at 10:00:12 a.m. until 3 p.m. on Tuesday April 25 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/4/21/daily-digest
129,House,04/21/2023,,,,NS,The House was not in session today. The House will meet in Pro Forma session at 11 a.m. on Monday April 24 2023.No hearings were held.,https://www.congress.gov/congressional-record/2023/4/21/daily-digest
130,Senate,04/24/2023,,,,NS,The Senate was not in session and stands adjourned until 3 p.m. on Tuesday April 25 2023.No committee meetings were held.,https://www.congress.gov/congressional-record/2023/4/24/daily-digest
131,House,04/24/2023,11:00AM,11:03AM,3.0,pf,Adjournment: The House met at 11 a.m. and adjourned at 11:03 a.m.,https://www.congress.gov/congressional-record/2023/4/24/daily-digest
132,Senate,04/25/2023,15:00PM,18:39PM,219.0,x,Adjournment: Senate convened at 3 p.m. and adjourned at 6:39 p.m. until 10 a.m. on Wednesday April 26 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/4/25/daily-digest
133,House,04/25/2023,12:00PM,21:07PM,547.0,x,Adjournment: The House met at 12 p.m. and adjourned at 9:07 p.m.  ,https://www.congress.gov/congressional-record/2023/4/25/daily-digest
134,Senate,04/26/2023,10:00AM,19:31PM,571.0,x,Adjournment: Senate convened at 10 a.m. and adjourned at 7:31 p.m. until 12 p.m. on Thursday April 27 2023. (For Senates program see the remarks of the Acting Majority Leader in todays Record on ,https://www.congress.gov/congressional-record/2023/4/26/daily-digest
